"Table with row headers in columns A and B, column headers in rows 4 and 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table HIC-4_ACS. Health Insurance Coverage Status and Type of Coverage by State All People: 2008 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Numbers in thousands. Civilian noninstitutionalized population. Margins of error calculated using replicate weights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nation/State,Coverage,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,,2009,,,,2008,,,
,..Medicaid,"2,553",34,20.3,0.3,"2,484",29,19.7,0.2,"2,506",34,19.9,0.3,"2,334",33,18.5,0.3,"2,127",31,16.9,0.2,"2,086",29,16.6,0.2,"2,137",27,17.0,0.2,"2,132",30,17.0,0.2,"2,089",28,16.7,0.2,"1,934",26,15.6,0.2,"1,828",26,15.0,0.2
,..Medicare,"2,507",12,19.9,0.1,"2,506",13,19.9,0.1,"2,420",10,19.2,0.1,"2,375",11,18.9,0.1,"2,329",9,18.5,0.1,"2,277",9,18.1,0.1,"2,223",9,17.7,0.1,"2,181",9,17.4,0.1,"2,132",10,17.0,0.1,"2,080",9,16.8,0.1,"2,035",12,16.7,0.1
,..VA Care,279,8,2.2,0.1,264,7,2.1,0.1,277,7,2.2,0.1,268,8,2.1,0.1,262,7,2.1,0.1,262,6,2.1,Z,261,6,2.1,Z,258,6,2.1,Z,254,6,2.0,0.1,244,7,2.0,0.1,260,7,2.1,0.1
RHODE ISLAND,Total,"1,041",1,100.0,Z,"1,044",1,100.0,Z,"1,040",1,100.0,Z,"1,041",1,100.0,Z,"1,040",1,100.0,Z,"1,036",1,100.0,Z,"1,035",1,100.0,Z,"1,035",1,100.0,Z,"1,037",1,100.0,Z,"1,035",1,100.0,Z,"1,030",4,100.0,Z
,Any coverage,999,5,95.9,0.5,996,4,95.4,0.4,995,5,95.7,0.5,982,6,94.3,0.6,963,6,92.6,0.6,916,7,88.4,0.7,920,6,88.9,0.6,923,7,89.2,0.7,911,7,87.8,0.7,919,7,88.7,0.7,926,8,89.8,0.7
,Uninsured,42,5,4.1,0.5,48,4,4.6,0.4,45,5,4.3,0.5,59,6,5.7,0.6,77,6,7.4,0.6,120,7,11.6,0.7,115,6,11.1,0.6,112,7,10.8,0.7,126,7,12.2,0.7,117,7,11.3,0.7,105,7,10.2,0.7
,Private,729,11,70.0,1.0,727,13,69.6,1.2,746,11,71.7,1.1,734,10,70.5,0.9,715,11,68.8,1.1,714,11,68.9,1.1,726,10,70.2,1.0,738,11,71.3,1.0,729,11,70.3,1.1,748,11,72.2,1.0,772,10,74.9,0.9
,..Employer-based,599,11,57.5,1.1,594,12,56.9,1.2,598,14,57.5,1.3,597,12,57.3,1.2,589,11,56.6,1.1,596,11,57.6,1.0,620,12,59.9,1.1,629,11,60.8,1.1,612,12,59.0,1.2,624,12,60.3,1.2,657,10,63.7,0.9
,..Direct-purchase,148,7,14.2,0.7,151,9,14.4,0.9,170,8,16.4,0.8,152,7,14.6,0.7,141,6,13.6,0.6,130,6,12.5,0.6,130,7,12.5,0.6,133,6,12.8,0.6,136,7,13.1,0.7,147,6,14.2,0.6,147,7,14.3,0.7
,..TRICARE,24,3,2.3,0.3,23,3,2.2,0.3,18,3,1.7,0.3,22,3,2.1,0.3,19,3,1.8,0.3,22,4,2.1,0.4,24,3,2.3,0.3,24,3,2.3,0.3,25,3,2.4,0.3,24,3,2.3,0.3,26,3,2.5,0.3
,Public,403,10,38.7,1.0,397,11,38.0,1.1,389,10,37.4,1.0,383,10,36.8,1.0,374,10,36.0,0.9,329,9,31.8,0.8,322,8,31.1,0.8,319,10,30.8,1.0,310,10,29.9,0.9,299,9,28.9,0.9,295,9,28.6,0.9
,..Medicaid,245,11,23.6,1.0,242,11,23.2,1.1,230,11,22.1,1.1,231,10,22.2,1.0,225,9,21.7,0.9,184,9,17.8,0.8,182,8,17.6,0.8,181,10,17.5,1.0,172,9,16.6,0.9,162,9,15.6,0.8,158,8,15.4,0.8
,..Medicare,199,4,19.1,0.3,189,4,18.1,0.4,197,4,19.0,0.3,185,3,17.8,0.3,185,3,17.8,0.3,179,3,17.3,0.3,177,3,17.1,0.3,174,3,16.8,0.3,169,3,16.3,0.3,166,4,16.0,0.3,166,4,16.1,0.4
,..VA Care,24,3,2.3,0.3,22,2,2.1,0.2,23,2,2.2,0.2,22,3,2.1,0.2,24,2,2.3,0.2,20,2,1.9,0.2,20,2,1.9,0.2,21,2,2.0,0.2,22,2,2.1,0.2,20,2,1.9,0.2,21,2,2.1,0.2
SOUTH CAROLINA,Total,"4,990",2,100.0,Z,"4,928",2,100.0,Z,"4,861",2,100.0,Z,"4,801",2,100.0,Z,"4,734",2,100.0,Z,"4,678",2,100.0,Z,"4,623",2,100.0,Z,"4,579",2,100.0,Z,"4,537",2,100.0,Z,"4,454",2,100.0,Z,"4,374",3,100.0,Z
,Any coverage,"4,468",18,89.5,0.4,"4,387",17,89.0,0.3,"4,375",14,90.0,0.3,"4,278",14,89.1,0.3,"4,092",17,86.4,0.4,"3,939",18,84.2,0.4,"3,845",19,83.2,0.4,"3,813",19,83.3,0.4,"3,742",19,82.5,0.4,"3,705",19,83.2,0.4,"3,643",17,83.3,0.4
,Uninsured,522,19,10.5,0.4,542,17,11.0,0.3,486,14,10.0,0.3,523,14,10.9,0.3,642,17,13.6,0.4,739,18,15.8,0.4,778,19,16.8,0.4,766,19,16.7,0.4,795,19,17.5,0.4,750,19,16.8,0.4,731,16,16.7,0.4
,Private,"3,288",30,65.9,0.6,"3,225",25,65.4,0.5,"3,242",24,66.7,0.5,"3,167",26,66.0,0.5,"3,005",29,63.5,0.6,"2,912",28,62.3,0.6,"2,866",27,62.0,0.6,"2,862",25,62.5,0.5,"2,851",28,62.8,0.6,"2,873",28,64.5,0.6,"2,910",24,66.5,0.5
,..Employer-based,"2,587",29,51.8,0.6,"2,528",28,51.3,0.6,"2,509",28,51.6,0.6,"2,487",29,51.8,0.6,"2,381",30,50.3,0.6,"2,370",27,50.7,0.6,"2,332",23,50.4,0.5,"2,331",27,50.9,0.6,"2,336",28,51.5,0.6,"2,350",27,52.8,0.6,"2,398",24,54.8,0.5
,..Direct-purchase,707,18,14.2,0.4,681,16,13.8,0.3,718,16,14.8,0.3,673,17,14.0,0.4,599,14,12.6,0.3,537,16,11.5,0.3,548,14,11.9,0.3,546,17,11.9,0.4,544,14,12.0,0.3,596,14,13.4,0.3,627,13,14.3,0.3
,..TRICARE,239,13,4.8,0.3,239,12,4.8,0.2,256,12,5.3,0.3,221,11,4.6,0.2,223,10,4.7,0.2,220,10,4.7,0.2,236,10,5.1,0.2,223,12,4.9,0.3,222,11,4.9,0.3,208,10,4.7,0.2,194,10,4.4,0.2
,Public,"1,888",19,37.8,0.4,"1,833",19,37.2,0.4,"1,811",21,37.2,0.4,"1,750",20,36.5,0.4,"1,714",23,36.2,0.5,"1,615",19,34.5,0.4,"1,553",21,33.6,0.5,"1,489",18,32.5,0.4,"1,435",21,31.6,0.5,"1,374",22,30.8,0.5,"1,283",16,29.3,0.4
,..Medicaid,983,19,19.7,0.4,957,19,19.4,0.4,966,21,19.9,0.4,942,20,19.6,0.4,922,23,19.5,0.5,869,20,18.6,0.4,840,20,18.2,0.4,805,17,17.6,0.4,778,20,17.2,0.4,758,20,17.0,0.5,679,17,15.5,0.4
,..Medicare,"1,017",8,20.4,0.2,987,9,20.0,0.2,955,8,19.6,0.2,918,7,19.1,0.1,887,7,18.7,0.1,845,8,18.1,0.2,816,7,17.6,0.2,786,8,17.2,0.2,750,7,16.5,0.2,732,7,16.4,0.2,708,6,16.2,0.1
,..VA Care,164,8,3.3,0.2,157,6,3.2,0.1,159,7,3.3,0.1,149,7,3.1,0.1,151,6,3.2,0.1,142,5,3.0,0.1,138,6,3.0,0.1,128,6,2.8,0.1,129,6,2.8,0.1,118,6,2.7,0.1,124,6,2.8,0.1
SOUTH DAKOTA,Total,865,1,100.0,Z,852,1,100.0,Z,849,Z,100.0,Z,841,1,100.0,Z,835,1,100.0,Z,827,1,100.0,Z,816,1,100.0,Z,806,1,100.0,Z,798,1,100.0,Z,793,1,100.0,Z,784,1,100.0,Z
,Any coverage,780,5,90.2,0.6,774,5,90.9,0.6,775,4,91.3,0.5,755,5,89.8,0.6,753,4,90.2,0.5,734,6,88.7,0.7,722,5,88.5,0.6,710,5,88.1,0.6,699,7,87.6,0.9,689,6,86.9,0.7,696,6,88.9,0.7
,Uninsured,85,5,9.8,0.6,77,5,9.1,0.6,74,4,8.7,0.5,86,5,10.2,0.6,82,4,9.8,0.5,93,5,11.3,0.7,94,5,11.5,0.6,96,5,11.9,0.6,99,7,12.4,0.9,104,5,13.1,0.7,87,6,11.1,0.7
,Private,623,8,72.0,1.0,624,8,73.2,1.0,623,8,73.5,0.9,611,8,72.7,1.0,616,6,73.8,0.8,593,7,71.7,0.9,588,8,72.1,0.9,579,7,71.9,0.9,588,8,73.7,1.0,574,8,72.4,1.0,591,9,75.5,1.1
,..Employer-based,474,9,54.8,1.1,473,9,55.6,1.1,462,11,54.4,1.2,449,9,53.3,1.0,453,8,54.2,0.9,442,9,53.4,1.0,447,9,54.7,1.1,443,8,55.0,1.0,434,9,54.4,1.1,431,10,54.4,1.2,448,10,57.2,1.3
,..Direct-purchase,151,6,17.5,0.7,152,7,17.8,0.8,166,8,19.6,0.9,162,6,19.2,0.7,163,6,19.5,0.7,156,6,18.8,0.7,159,6,19.5,0.8,151,7,18.7,0.9,164,6,20.5,0.7,165,7,20.8,0.9,175,7,22.4,1.0
,..TRICARE,35,5,4.1,0.6,33,5,3.9,0.6,35,4,4.2,0.4,34,4,4.0,0.5,35,4,4.2,0.5,33,4,4.0,0.4,33,4,4.1,0.5,29,4,3.7,0.4,33,4,4.1,0.5,26,3,3.2,0.4,27,3,3.4,0.4
,Public,263,7,30.4,0.8,263,7,30.9,0.8,263,7,31.0,0.8,255,6,30.3,0.8,245,6,29.3,0.8,250,6,30.3,0.7,238,5,29.1,0.7,232,6,28.8,0.7,223,7,28.0,0.9,223,7,28.1,0.9,223,8,28.4,1.0
,..Medicaid,119,7,13.8,0.8,123,6,14.5,0.7,125,7,14.8,0.8,121,6,14.4,0.7,118,6,14.2,0.7,125,6,15.1,0.7,116,6,14.2,0.7,111,6,13.8,0.7,107,6,13.4,0.8,109,7,13.7,0.9,109,7,13.9,1.0
,..Medicare,155,3,17.9,0.3,150,2,17.6,0.3,147,3,17.3,0.4,144,3,17.1,0.3,137,2,16.4,0.3,134,2,16.3,0.3,131,2,16.1,0.3,129,2,16.0,0.3,127,3,15.9,0.4,123,3,15.5,0.3,121,2,15.4,0.3
,..VA Care,31,2,3.6,0.3,33,3,3.9,0.3,32,2,3.8,0.3,31,2,3.7,0.3,31,2,3.7,0.3,30,2,3.6,0.3,32,2,4.0,0.3,31,2,3.9,0.3,31,2,3.9,0.3,31,3,3.9,0.3,33,2,4.2,0.3
TENNESSEE,Total,"6,668",2,100.0,Z,"6,613",2,100.0,Z,"6,547",3,100.0,Z,"6,496",2,100.0,Z,"6,449",2,100.0,Z,"6,395",2,100.0,Z,"6,355",2,100.0,Z,"6,302",2,100.0,Z,"6,260",2,100.0,Z,"6,188",2,100.0,Z,"6,113",2,100.0,Z
,Any coverage,"5,993",21,89.9,0.3,"5,983",19,90.5,0.3,"5,955",16,91.0,0.2,"5,829",19,89.7,0.3,"5,672",19,88.0,0.3,"5,508",19,86.1,0.3,"5,473",20,86.1,0.3,"5,380",19,85.4,0.3,"5,361",22,85.6,0.4,"5,305",21,85.7,0.3,"5,323",22,87.1,0.4
,Uninsured,675,21,10.1,0.3,629,19,9.5,0.3,592,16,9.0,0.2,667,19,10.3,0.3,776,19,12.0,0.3,887,20,13.9,0.3,882,20,13.9,0.3,923,19,14.6,0.3,899,22,14.4,0.4,883,21,14.3,0.3,790,22,12.9,0.4
,Private,"4,384",35,65.8,0.5,"4,381",34,66.3,0.5,"4,339",30,66.3,0.5,"4,278",34,65.8,0.5,"4,180",35,64.8,0.5,"4,079",32,63.8,0.5,"4,102",32,64.5,0.5,"3,997",32,63.4,0.5,"4,043",34,64.6,0.6,"4,065",31,65.7,0.5,"4,191",30,68.6,0.5
,..Employer-based,"3,499",34,52.5,0.5,"3,506",35,53.0,0.5,"3,420",29,52.2,0.4,"3,369",30,51.9,0.5,"3,295",35,51.1,0.5,"3,281",31,51.3,0.5,"3,363",35,52.9,0.6,"3,273",31,51.9,0.5,"3,305",35,52.8,0.6,"3,342",33,54.0,0.5,"3,473",31,56.8,0.5
,..Direct-purchase,907,18,13.6,0.3,895,17,13.5,0.3,955,19,14.6,0.3,932,19,14.4,0.3,897,19,13.9,0.3,804,18,12.6,0.3,822,18,12.9,0.3,777,17,12.3,0.3,807,15,12.9,0.2,830,17,13.4,0.3,891,20,14.6,0.3
,..TRICARE,240,12,3.6,0.2,225,12,3.4,0.2,219,10,3.4,0.1,223,9,3.4,0.1,218,9,3.4,0.1,226,12,3.5,0.2,200,10,3.1,0.2,211,12,3.3,0.2,215,12,3.4,0.2,194,8,3.1,0.1,191,8,3.1,0.1
,Public,"2,475",28,37.1,0.4,"2,433",27,36.8,0.4,"2,442",25,37.3,0.4,"2,335",22,35.9,0.3,"2,280",25,35.4,0.4,"2,197",22,34.4,0.3,"2,129",25,33.5,0.4,"2,101",24,33.3,0.4,"2,052",25,32.8,0.4,"1,970",21,31.8,0.3,"1,869",21,30.6,0.3
,..Medicaid,"1,373",29,20.6,0.4,"1,362",27,20.6,0.4,"1,411",25,21.6,0.4,"1,313",21,20.2,0.3,"1,290",23,20.0,0.4,"1,243",22,19.4,0.3,"1,195",25,18.8,0.4,"1,211",25,19.2,0.4,"1,185",25,18.9,0.4,"1,136",23,18.4,0.4,"1,078",22,17.6,0.4
,..Medicare,"1,263",9,18.9,0.1,"1,232",10,18.6,0.1,"1,202",9,18.4,0.1,"1,184",9,18.2,0.1,"1,149",8,17.8,0.1,"1,111",10,17.4,0.1,"1,089",7,17.1,0.1,"1,051",9,16.7,0.1,"1,028",9,16.4,0.1,"1,000",10,16.2,0.2,953,8,15.6,0.1
,..VA Care,180,8,2.7,0.1,181,7,2.7,0.1,173,6,2.6,0.1,174,6,2.7,0.1,170,7,2.6,0.1,155,6,2.4,0.1,150,6,2.4,0.1,149,7,2.4,0.1,146,7,2.3,0.1,144,7,2.3,0.1,146,6,2.4,0.1
TEXAS,Total,"28,243",4,100.0,Z,"27,837",4,100.0,Z,"27,386",4,100.0,Z,"26,990",4,100.0,Z,"26,486",4,100.0,Z,"25,977",5,100.0,Z,"25,584",4,100.0,Z,"25,197",5,100.0,Z,"24,779",5,100.0,Z,"24,292",5,100.0,Z,"23,827",5,100.0,Z
,Any coverage,"23,240",60,82.3,0.2,"23,020",48,82.7,0.2,"22,841",56,83.4,0.2,"22,375",54,82.9,0.2,"21,438",43,80.9,0.2,"20,228",54,77.9,0.2,"19,822",54,77.5,0.2,"19,408",58,77.0,0.2,"18,904",56,76.3,0.2,"18,508",52,76.2,0.2,"18,263",39,76.6,0.2
,Uninsured,"5,003",60,17.7,0.2,"4,817",48,17.3,0.2,"4,545",55,16.6,0.2,"4,615",55,17.1,0.2,"5,047",43,19.1,0.2,"5,748",55,22.1,0.2,"5,762",54,22.5,0.2,"5,790",59,23.0,0.2,"5,875",56,23.7,0.2,"5,783",52,23.8,0.2,"5,564",39,23.4,0.2
,Private,"17,467",82,61.8,0.3,"17,326",70,62.2,0.3,"17,190",81,62.8,0.3,"16,808",71,62.3,0.3,"16,050",62,60.6,0.2,"15,033",64,57.9,0.2,"14,658",63,57.3,0.2,"14,454",60,57.4,0.2,"14,259",73,57.5,0.3,"14,305",67,58.9,0.3,"14,435",49,60.6,0.2
,..Employer-based,"14,413",80,51.0,0.3,"14,324",74,51.5,0.3,"13,940",75,50.9,0.3,"13,709",76,50.8,0.3,"13,291",66,50.2,0.2,"12,664",65,48.8,0.3,"12,476",72,48.8,0.3,"12,300",62,48.8,0.2,"12,076",74,48.7,0.3,"12,151",64,50.0,0.3,"12,239",51,51.4,0.2
,..Direct-purchase,"3,153",48,11.2,0.2,"3,098",45,11.1,0.2,"3,311",42,12.1,0.2,"3,135",38,11.6,0.1,"2,794",30,10.5,0.1,"2,456",32,9.5,0.1,"2,460",32,9.6,0.1,"2,339",41,9.3,0.2,"2,444",34,9.9,0.1,"2,450",30,10.1,0.1,"2,669",34,11.2,0.1
,..TRICARE,855,22,3.0,0.1,822,22,3.0,0.1,821,22,3.0,0.1,805,19,3.0,0.1,802,25,3.0,0.1,774,26,3.0,0.1,791,21,3.1,0.1,779,27,3.1,0.1,753,19,3.0,0.1,716,20,2.9,0.1,720,19,3.0,0.1
,Public,"8,200",44,29.0,0.2,"8,053",52,28.9,0.2,"7,987",57,29.2,0.2,"7,823",46,29.0,0.2,"7,583",43,28.6,0.2,"7,364",43,28.3,0.2,"7,249",46,28.3,0.2,"6,962",40,27.6,0.2,"6,682",44,27.0,0.2,"6,205",37,25.5,0.2,"5,845",36,24.5,0.2
,..Medicaid,"4,807",48,17.0,0.2,"4,767",50,17.1,0.2,"4,792",57,17.5,0.2,"4,732",47,17.5,0.2,"4,588",44,17.3,0.2,"4,514",44,17.4,0.2,"4,556",41,17.8,0.2,"4,354",39,17.3,0.2,"4,173",43,16.8,0.2,"3,799",36,15.6,0.1,"3,524",38,14.8,0.2
,..Medicare,"3,868",19,13.7,0.1,"3,730",17,13.4,0.1,"3,620",17,13.2,0.1,"3,536",15,13.1,0.1,"3,419",17,12.9,0.1,"3,275",18,12.6,0.1,"3,131",16,12.2,0.1,"3,015",17,12.0,0.1,"2,913",15,11.8,0.1,"2,793",15,11.5,0.1,"2,702",12,11.3,0.1
,..VA Care,625,14,2.2,0.1,591,14,2.1,Z,603,13,2.2,Z,565,12,2.1,Z,559,14,2.1,0.1,544,14,2.1,0.1,536,11,2.1,Z,495,14,2.0,0.1,494,10,2.0,Z,479,9,2.0,Z,494,12,2.1,Z
UTAH,Total,"3,136",1,100.0,Z,"3,076",1,100.0,Z,"3,025",1,100.0,Z,"2,971",1,100.0,Z,"2,916",1,100.0,Z,"2,874",1,100.0,Z,"2,829",1,100.0,Z,"2,790",1,100.0,Z,"2,750",1,100.0,Z,"2,755",2,100.0,Z,"2,705",2,100.0,Z
,Any coverage,"2,840",17,90.6,0.5,"2,795",12,90.8,0.4,"2,760",12,91.2,0.4,"2,660",14,89.5,0.5,"2,551",13,87.5,0.5,"2,472",13,86.0,0.5,"2,420",14,85.5,0.5,"2,364",15,84.7,0.5,"2,328",16,84.7,0.6,"2,354",17,85.4,0.6,"2,300",15,85.0,0.6
,Uninsured,295,17,9.4,0.5,282,12,9.2,0.4,265,12,8.8,0.4,311,14,10.5,0.5,366,13,12.5,0.5,402,13,14.0,0.5,409,14,14.5,0.5,426,15,15.3,0.5,422,16,15.3,0.6,401,17,14.6,0.6,405,15,15.0,0.6
,Private,"2,463",21,78.5,0.7,"2,413",19,78.4,0.6,"2,379",17,78.7,0.6,"2,295",20,77.3,0.7,"2,194",17,75.2,0.6,"2,114",18,73.5,0.6,"2,076",19,73.4,0.7,"2,033",21,72.9,0.7,"2,005",18,72.9,0.6,"2,065",20,75.0,0.7,"2,054",19,75.9,0.7
,..Employer-based,"2,025",23,64.6,0.7,"1,994",22,64.8,0.7,"1,967",20,65.0,0.7,"1,897",20,63.8,0.7,"1,838",20,63.0,0.7,"1,803",19,62.7,0.7,"1,800",20,63.6,0.7,"1,752",21,62.8,0.8,"1,712",18,62.3,0.7,"1,773",22,64.4,0.8,"1,768",20,65.4,0.7
,..Direct-purchase,465,15,14.8,0.5,450,16,14.6,0.5,438,16,14.5,0.5,423,14,14.2,0.5,377,11,12.9,0.4,333,12,11.6,0.4,319,12,11.3,0.4,333,13,11.9,0.5,332,10,12.1,0.4,365,16,13.2,0.6,368,14,13.6,0.5
,..TRICARE,80,8,2.5,0.3,69,6,2.3,0.2,72,6,2.4,0.2,66,6,2.2,0.2,69,6,2.4,0.2,71,7,2.5,0.2,67,6,2.4,0.2,69,8,2.5,0.3,69,7,2.5,0.3,64,6,2.3,0.2,66,5,2.4,0.2
,Public,667,14,21.3,0.5,657,14,21.4,0.5,651,12,21.5,0.4,632,13,21.3,0.4,608,14,20.8,0.5,604,12,21.0,0.4,589,14,20.8,0.5,575,16,20.6,0.6,563,15,20.5,0.5,522,14,19.0,0.5,493,13,18.2,0.5
,..Medicaid,325,13,10.4,0.4,333,13,10.8,0.4,342,13,11.3,0.4,329,13,11.1,0.4,310,13,10.6,0.4,321,11,11.2,0.4,320,13,11.3,0.5,319,15,11.4,0.5,317,15,11.5,0.6,282,14,10.3,0.5,258,12,9.5,0.4
,..Medicare,373,5,11.9,0.2,356,4,11.6,0.1,345,4,11.4,0.1,337,4,11.3,0.1,325,5,11.2,0.2,312,4,10.9,0.1,301,4,10.6,0.1,289,5,10.4,0.2,275,3,10.0,0.1,270,4,9.8,0.1,268,5,9.9,0.2
,..VA Care,53,4,1.7,0.1,48,3,1.6,0.1,46,3,1.5,0.1,45,4,1.5,0.1,44,3,1.5,0.1,44,3,1.5,0.1,44,3,1.5,0.1,39,3,1.4,0.1,40,3,1.5,0.1,40,3,1.4,0.1,40,3,1.5,0.1
VERMONT,Total,620,Z,100.0,Z,618,Z,100.0,Z,619,Z,100.0,Z,620,Z,100.0,Z,620,Z,100.0,Z,621,Z,100.0,Z,620,Z,100.0,Z,620,Z,100.0,Z,620,Z,100.0,Z,615,Z,100.0,Z,615,Z,100.0,Z
,Any coverage,595,3,96.0,0.5,589,3,95.4,0.4,596,2,96.3,0.4,596,2,96.2,0.4,590,3,95.0,0.4,576,4,92.8,0.6,580,3,93.5,0.5,579,3,93.4,0.5,570,4,92.0,0.7,562,3,91.4,0.6,561,4,91.2,0.6
,Uninsured,25,3,4.0,0.5,28,3,4.6,0.4,23,2,3.7,0.4,24,2,3.8,0.4,31,3,5.0,0.4,45,4,7.2,0.6,40,3,6.5,0.5,41,3,6.6,0.5,50,4,8.0,0.7,53,3,8.6,0.6,54,4,8.8,0.6
,Private,433,8,69.9,1.3,411,8,66.5,1.3,422,9,68.2,1.4,424,7,68.4,1.1,419,7,67.6,1.1,415,8,66.8,1.2,426,7,68.7,1.1,426,7,68.7,1.1,418,6,67.4,1.0,429,7,69.7,1.1,438,6,71.2,0.9
,..Employer-based,349,8,56.2,1.2,327,8,53.0,1.3,337,8,54.4,1.4,345,7,55.6,1.1,338,7,54.5,1.2,347,8,55.9,1.3,359,7,58.0,1.2,355,7,57.3,1.2,348,7,56.1,1.1,362,7,58.8,1.1,368,6,59.9,1.0
,..Direct-purchase,92,5,14.9,0.7,92,5,14.9,0.9,96,5,15.5,0.8,86,3,13.9,0.5,88,4,14.1,0.6,75,4,12.1,0.6,77,4,12.3,0.6,78,4,12.6,0.7,79,4,12.8,0.6,80,4,13.0,0.6,87,4,14.1,0.7
,..TRICARE,15,3,2.4,0.4,15,2,2.5,0.4,11,2,1.8,0.3,14,2,2.2,0.4,13,2,2.1,0.3,13,2,2.0,0.3,11,1,1.7,0.2,17,2,2.8,0.3,13,2,2.2,0.3,11,2,1.8,0.3,10,2,1.6,0.3
,Public,252,7,40.6,1.2,273,7,44.2,1.1,264,7,42.7,1.2,261,6,42.1,1.0,259,6,41.8,1.0,246,7,39.7,1.1,238,7,38.5,1.1,238,6,38.4,1.0,237,6,38.2,1.0,215,6,34.9,1.0,208,6,33.9,1.0
,..Medicaid,141,7,22.8,1.1,166,7,26.8,1.1,162,8,26.2,1.2,160,6,25.9,1.0,161,7,25.9,1.1,152,7,24.4,1.1,148,7,23.9,1.1,152,6,24.4,1.0,151,6,24.4,1.0,134,6,21.7,1.0,133,6,21.6,1.0
,..Medicare,134,2,21.6,0.4,130,2,21.1,0.4,127,2,20.5,0.4,124,2,20.1,0.4,122,2,19.7,0.4,118,2,19.0,0.4,113,2,18.2,0.3,107,2,17.3,0.3,106,2,17.0,0.4,100,2,16.3,0.3,99,2,16.2,0.4
,..VA Care,15,2,2.5,0.3,17,2,2.7,0.3,15,1,2.4,0.2,17,2,2.7,0.3,17,2,2.8,0.2,14,1,2.3,0.2,14,1,2.2,0.2,15,1,2.4,0.2,15,2,2.5,0.2,14,1,2.3,0.2,15,1,2.4,0.2
VIRGINIA,Total,"8,301",5,100.0,Z,"8,257",5,100.0,Z,"8,200",5,100.0,Z,"8,163",5,100.0,Z,"8,115",5,100.0,Z,"8,054",4,100.0,Z,"7,973",4,100.0,Z,"7,887",5,100.0,Z,"7,807",5,100.0,Z,"7,644",8,100.0,Z,"7,521",5,100.0,Z
,Any coverage,"7,570",20,91.2,0.3,"7,528",22,91.2,0.3,"7,485",22,91.3,0.3,"7,416",23,90.9,0.3,"7,231",23,89.1,0.3,"7,064",22,87.7,0.3,"6,974",21,87.5,0.3,"6,904",20,87.5,0.3,"6,787",22,86.9,0.3,"6,736",22,88.1,0.3,"6,649",22,88.4,0.3
,Uninsured,731,21,8.8,0.3,729,21,8.8,0.3,715,21,8.7,0.3,746,23,9.1,0.3,884,22,10.9,0.3,991,22,12.3,0.3,"1,000",21,12.5,0.3,983,20,12.5,0.3,"1,020",21,13.1,0.3,908,20,11.9,0.3,871,23,11.6,0.3
,Private,"6,258",35,75.4,0.4,"6,293",34,76.2,0.4,"6,282",32,76.6,0.4,"6,208",35,76.1,0.4,"6,065",36,74.7,0.4,"5,954",34,73.9,0.4,"5,912",28,74.1,0.4,"5,864",30,74.4,0.4,"5,826",31,74.6,0.4,"5,852",31,76.6,0.4,"5,862",31,77.9,0.4
,..Employer-based,"4,957",32,59.7,0.4,"4,920",35,59.6,0.4,"4,892",39,59.7,0.5,"4,850",35,59.4,0.4,"4,802",36,59.2,0.4,"4,760",39,59.1,0.5,"4,809",31,60.3,0.4,"4,781",33,60.6,0.4,"4,739",33,60.7,0.4,"4,790",30,62.7,0.4,"4,859",33,64.6,0.4
,..Direct-purchase,"1,167",19,14.1,0.2,"1,229",23,14.9,0.3,"1,285",21,15.7,0.3,"1,234",19,15.1,0.2,"1,104",19,13.6,0.2,"1,046",23,13.0,0.3,"1,035",20,13.0,0.2,"1,001",24,12.7,0.3,"1,037",19,13.3,0.2,"1,052",21,13.8,0.3,"1,105",22,14.7,0.3
,..TRICARE,646,22,7.8,0.3,657,16,8.0,0.2,643,18,7.8,0.2,650,17,8.0,0.2,628,17,7.7,0.2,644,15,8.0,0.2,642,18,8.0,0.2,645,20,8.2,0.3,635,20,8.1,0.3,631,18,8.3,0.2,598,16,7.9,0.2
,Public,"2,374",24,28.6,0.3,"2,295",24,27.8,0.3,"2,252",22,27.5,0.3,"2,222",22,27.2,0.3,"2,120",22,26.1,0.3,"2,060",22,25.6,0.3,"1,965",19,24.6,0.2,"1,909",19,24.2,0.2,"1,839",21,23.6,0.3,"1,756",21,23.0,0.3,"1,669",21,22.2,0.3
,..Medicaid,"1,001",22,12.1,0.3,975,22,11.8,0.3,951,22,11.6,0.3,979,20,12.0,0.2,928,23,11.4,0.3,896,21,11.1,0.3,865,20,10.9,0.2,858,18,10.9,0.2,807,19,10.3,0.2,789,19,10.3,0.3,731,19,9.7,0.2
,..Medicare,"1,431",8,17.2,0.1,"1,375",10,16.6,0.1,"1,338",10,16.3,0.1,"1,298",9,15.9,0.1,"1,254",9,15.4,0.1,"1,236",8,15.3,0.1,"1,179",8,14.8,0.1,"1,137",9,14.4,0.1,"1,108",9,14.2,0.1,"1,060",9,13.9,0.1,"1,038",9,13.8,0.1
