"","X1","X1_6","X1_5","X1_4","X1_3","X1_2","X1_1","id","name","address","city","state","zip","county","telephone","type","owner","emergency_services","meets_criteria_for_meaningful_use_of_eh_rs","hospital_overall_rating","hospital_overall_rating_footnote","mortality_national_comparison","mortality_national_comparison_footnote","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","readmission_national_comparison_footnote","patient_experience_national_comparison","patient_experience_national_comparison_footnote","effectiveness_of_care_national_comparison","effectiveness_of_care_national_comparison_footnote","timeliness_of_care_national_comparison","timeliness_of_care_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison","efficient_use_of_medical_imaging_national_comparison_footnote","long","lat","overall_type","ny_metro"
"1625",1625,1625,1625,1625,1625,1625,1625,"10062","Wiregrass Medical Center","1200 W Maple Avenue","Geneva","AL",36340,"Geneva","(334) 684-3655","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,NA,"4",NA,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,-85.890837,31.048063,"medicare","N"
"1626",1626,1626,1626,1626,1626,1626,1626,"360011","Marion General Hospital","1000 Mckinley Park Drive","Marion","OH",43302,"Marion","(740) 383-8400","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,-83.128048,40.571602,"medicare","N"
"1627",1627,1627,1627,1627,1627,1627,1627,"364041","Ohio Hospital For Psychiatry","880 Greenlawn Avenue","Columbus","OH",43223,"Franklin","(614) 449-9664","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-83.017782,39.93977,"medicare","N"
"1628",1628,1628,1628,1628,1628,1628,1628,"390290","Hahnemann University Hospital","230 North Broad Street","Philadelphia","PA",19102,"Philadelphia","(215) 762-7000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-75.162597,39.957334,"medicare","N"
"1629",1629,1629,1629,1629,1629,1629,1629,"334066","Rockland Children's Psychiatric Center","2 First Ave","Orangeburg","NY",10962,"Rockland","(845) 680-8004","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-73.96979,41.046076,"medicare","Y"
"1630",1630,1630,1630,1630,1630,1630,1630,"371300","Atoka County Medical Center","1590 West Liberty Road","Atoka","OK",74525,"Atoka","(580) 889-3333","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Above the national average",NA,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,-96.159488,34.395262,"medicare","N"
"1631",1631,1631,1631,1631,1631,1631,1631,"131307","Weiser Memorial Hospital","645 East 5th Street","Weiser","ID",83672,"Washington","(208) 549-0370","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,NA,"4",NA,"Not Available",5,"Not Available",5,"Above the national average",NA,"Not Available",16,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-116.961735,44.248761,"medicare","N"
"1632",1632,1632,1632,1632,1632,1632,1632,"190164","Byrd Regional Hospital","1020 Fertitta Blvd","Leesville","LA",71446,"Vernon","(337) 239-9041","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-93.268791,31.137324,"medicare","N"
"1633",1633,1633,1633,1633,1633,1633,1633,"383300","Shriners Hospital For Children-Portland","3101 Sw Sam Jackson Park Road","Portland","OR",97239,"Multnomah","(971) 544-3312","Childrens","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-122.684603,45.500105,"medicare","N"
"1634",1634,1634,1634,1634,1634,1634,1634,"351303","Garrison Memorial Hospital","407 3rd Ave Se","Garrison","ND",58540,"Mclean","(701) 463-2275","Critical Access Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,"Not Available",5,"Same as the national average",NA,-101.411301,47.648342,"medicare","N"
"1635",1635,1635,1635,1635,1635,1635,1635,"391305","Troy Community Hospital","275 Guthrie Drive","Troy","PA",16947,"Bradford","(570) 297-2121","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",16,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-76.794222,41.792963,"medicare","N"
"1636",1636,1636,1636,1636,1636,1636,1636,"330396","Woodhull Medical & Mental Health Center","760 Broadway","Brooklyn","NY",11206,"Kings","(718) 963-8100","Acute Care Hospitals","Government - Local",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-73.941557,40.700512,"medicare","Y"
"1637",1637,1637,1637,1637,1637,1637,1637,"18003F","Blanchfield Ach (Ft Campbell)","650 Joel Drive","Fort Campbell","KY",42223,"Christian","(270) 798-8400","Acute Care - Department of Defense","Department of Defense",TRUE,NA,"Not Available",22,"Not Available",22,"Not Available",22,"Not Available",22,"Not Available",22,"Not Available",22,"Not Available",22,"Not Available",22,-87.448787,36.637336,"medicare","N"
"1638",1638,1638,1638,1638,1638,1638,1638,"151320","Iu Health Jay","500 W Votaw St","Portland","IN",47371,"Jay","(260) 726-7131","Critical Access Hospitals","Government - Local",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-84.984105,40.439366,"medicare","N"
"1639",1639,1639,1639,1639,1639,1639,1639,"330387","Rockefeller University Hospital","1230 York Avenue","New York","NY",10021,"New York","(212) 570-8000","Acute Care Hospitals","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-73.956535,40.763049,"medicare","Y"
"1640",1640,1640,1640,1640,1640,1640,1640,"290032","Northern Nevada Medical Center","2375 E Prater Way","Sparks","NV",89434,"Washoe","(775) 331-7000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-119.697974,39.542488,"medicare","N"
"1641",1641,1641,1641,1641,1641,1641,1641,"14014","Baypointe Behavioral Health","5800 Southland Drive","Mobile","AL",36693,"Mobile","(251) 662-7998","Psychiatric","Voluntary non-profit - Other",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-88.177452,30.623804,"medicare","N"
"1642",1642,1642,1642,1642,1642,1642,1642,"141336","St Joseph's Hospital","12866 Troxler Avenue","Highland","IL",62249,"Madison","(618) 651-2600","Critical Access Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"5",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,"Not Available",16,"Same as the national average",NA,-89.667358,38.757077,"medicare","N"
"1643",1643,1643,1643,1643,1643,1643,1643,"390102","Upmc St Margaret","815 Freeport Road","Pittsburgh","PA",15215,"Allegheny","(412) 784-4000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-79.896038,40.487472,"medicare","N"
"1644",1644,1644,1644,1644,1644,1644,1644,"331316","Community Memorial Hospital, Inc","150 Broad Street","Hamilton","NY",13346,"Madison","(315) 824-1100","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-75.541908,42.813906,"medicare","N"
"1645",1645,1645,1645,1645,1645,1645,1645,"100140","Baptist Medical Center - Nassau","1250 S 18th St","Fernandina Beach","FL",32034,"Nassau","(904) 321-3500","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"5",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-81.449462,30.653028,"medicare","N"
"1646",1646,1646,1646,1646,1646,1646,1646,"330277","Corning Hospital","1 Guthrie Drive","Corning","NY",14830,"Steuben","(607) 937-7200","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-76.969841,42.136107,"medicare","N"
"1647",1647,1647,1647,1647,1647,1647,1647,"50382","Emanate Health Inter-Community Hospital","210 W  San Bernardino Road","Covina","CA",91723,"Los Angeles","(626) 814-2468","Acute Care Hospitals","Proprietary",TRUE,NA,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,-117.893666,34.089947,"medicare","N"
"1648",1648,1648,1648,1648,1648,1648,1648,"330047","St Mary's Healthcare","427 Guy Park Avenue","Amsterdam","NY",12010,"Montgomery","(518) 841-7101","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Not Available",5,-74.216041,42.953648,"medicare","N"
"1649",1649,1649,1649,1649,1649,1649,1649,"390117","Upmc Bedford Memorial","10455 Lincoln Highway","Everett","PA",15537,"Bedford","(814) 623-6161","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-78.433255,40.024721,"medicare","N"
"1650",1650,1650,1650,1650,1650,1650,1650,"240047","St Lukes Hospital","915 East 1st Street","Duluth","MN",55805,"St. Louis","(218) 249-5555","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"3",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-92.087038,46.797027,"medicare","N"
"1651",1651,1651,1651,1651,1651,1651,1651,"440033","Tennova Healthcare-Lafollett Medical Center","923 East Central Avenue","La Follette","TN",37766,"Campbell","(423) 907-1200","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-84.111365,36.387967,"medicare","N"
"1652",1652,1652,1652,1652,1652,1652,1652,"330106","North Shore University Hospital","300 Community Drive","Manhasset","NY",11030,"Nassau","(516) 562-0100","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.703029,40.779269,"medicare","Y"
"1653",1653,1653,1653,1653,1653,1653,1653,"240100","Sanford Bemidji Medical Center","1300 Anne St Nw","Bemidji","MN",56601,"Beltrami","(218) 751-5430","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-94.898125,47.505009,"medicare","N"
"1654",1654,1654,1654,1654,1654,1654,1654,"181316","Mary Breckinridge Arh Hospital","130 Kate Ireland Drive","Hyden","KY",41749,"Leslie","(606) 672-2901","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,-83.37836,37.163889,"medicare","N"
"1655",1655,1655,1655,1655,1655,1655,1655,"40020","St Bernards Medical Center","225 E Jackson","Jonesboro","AR",72401,"Craighead","(870) 972-4100","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"1",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-90.702142,35.837478,"medicare","N"
"1656",1656,1656,1656,1656,1656,1656,1656,"100025","Ascension Sacred Heart Pensacola","5151 N 9th Ave","Pensacola","FL",32504,"Escambia","(850) 416-7000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,-87.210986,30.475588,"medicare","N"
"1657",1657,1657,1657,1657,1657,1657,1657,"440007","Unity Medical Center","481 Interstate Drive","Manchester","TN",37355,"Coffee","(931) 728-6354","Acute Care Hospitals","Physician",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Not Available",5,-86.078141,35.497932,"medicare","N"
